,acceleration,cylinders,displacement,horsepower,model_year,mpg,name,origin,weight
0,12.0,8,307.0,130.0,70,18.0,chevrolet chevelle malibu,usa,3504
1,11.5,8,350.0,165.0,70,15.0,buick skylark 320,usa,3693
2,11.0,8,318.0,150.0,70,18.0,plymouth satellite,usa,3436
3,12.0,8,304.0,150.0,70,16.0,amc rebel sst,usa,3433
4,10.5,8,302.0,140.0,70,17.0,ford torino,usa,3449
5,10.0,8,429.0,198.0,70,15.0,ford galaxie 500,usa,4341
6,9.0,8,454.0,220.0,70,14.0,chevrolet impala,usa,4354
7,8.5,8,440.0,215.0,70,14.0,plymouth fury iii,usa,4312
8,10.0,8,455.0,225.0,70,14.0,pontiac catalina,usa,4425
9,8.5,8,390.0,190.0,70,15.0,amc ambassador dpl,usa,3850
10,10.0,8,383.0,170.0,70,15.0,dodge challenger se,usa,3563
11,8.0,8,340.0,160.0,70,14.0,plymouth 'cuda 340,usa,3609
12,9.5,8,400.0,150.0,70,15.0,chevrolet monte carlo,usa,3761
13,10.0,8,455.0,225.0,70,14.0,buick estate wagon (sw),usa,3086
14,15.0,4,113.0,95.0,70,24.0,toyota corona mark ii,japan,2372
15,15.5,6,198.0,95.0,70,22.0,plymouth duster,usa,2833
16,15.5,6,199.0,97.0,70,18.0,amc hornet,usa,2774
17,16.0,6,200.0,85.0,70,21.0,ford maverick,usa,2587
18,14.5,4,97.0,88.0,70,27.0,datsun pl510,japan,2130
19,20.5,4,97.0,46.0,70,26.0,volkswagen 1131 deluxe sedan,europe,1835
20,17.5,4,110.0,87.0,70,25.0,peugeot 504,europe,2672
21,14.5,4,107.0,90.0,70,24.0,audi 100 ls,europe,2430
22,17.5,4,104.0,95.0,70,25.0,saab 99e,europe,2375
23,12.5,4,121.0,113.0,70,26.0,bmw 2002,europe,2234
24,15.0,6,199.0,90.0,70,21.0,amc gremlin,usa,2648
25,14.0,8,360.0,215.0,70,10.0,ford f250,usa,4615
26,15.0,8,307.0,200.0,70,10.0,chevy c20,usa,4376
27,13.5,8,318.0,210.0,70,11.0,dodge d200,usa,4382
28,18.5,8,304.0,193.0,70,9.0,hi 1200d,usa,4732
29,14.5,4,97.0,88.0,71,27.0,datsun pl510,japan,2130
30,15.5,4,140.0,90.0,71,28.0,chevrolet vega 2300,usa,2264
31,14.0,4,113.0,95.0,71,25.0,toyota corona,japan,2228
32,19.0,4,98.0,,71,25.0,ford pinto,usa,2046
33,13.0,6,232.0,100.0,71,19.0,amc gremlin,usa,2634
34,15.5,6,225.0,105.0,71,16.0,plymouth satellite custom,usa,3439
35,15.5,6,250.0,100.0,71,17.0,chevrolet chevelle malibu,usa,3329
36,15.5,6,250.0,88.0,71,19.0,ford torino 500,usa,3302
37,15.5,6,232.0,100.0,71,18.0,amc matador,usa,3288
38,12.0,8,350.0,165.0,71,14.0,chevrolet impala,usa,4209
