,Age,Finances,Gender,History,Internet usage,Loneliness,Mathematics,Movies,Music,Parents Advice,Pets,Siblings,Spiders,Techno,Village - town
0,20.0,3.0,female,1.0,few hours a day,3.0,3.0,5.0,5.0,Often,4.0,1.0,1.0,1.0,village
1,19.0,3.0,female,1.0,few hours a day,2.0,5.0,5.0,4.0,Rarely,5.0,2.0,1.0,1.0,city
2,20.0,2.0,female,1.0,few hours a day,5.0,5.0,5.0,5.0,Sometimes,5.0,2.0,1.0,1.0,city
3,22.0,2.0,female,4.0,most of the day,5.0,4.0,5.0,5.0,Rarely,1.0,1.0,5.0,2.0,city
4,20.0,4.0,female,3.0,few hours a day,3.0,2.0,5.0,5.0,Sometimes,1.0,1.0,1.0,2.0,village
5,20.0,2.0,male,5.0,few hours a day,2.0,2.0,5.0,5.0,Sometimes,2.0,1.0,1.0,1.0,city
6,20.0,4.0,female,3.0,less than an hour a day,3.0,1.0,4.0,5.0,Often,5.0,1.0,1.0,5.0,village
7,19.0,3.0,male,5.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,1.0,1.0,3.0,city
8,18.0,2.0,female,3.0,few hours a day,4.0,1.0,5.0,5.0,Often,1.0,1.0,5.0,1.0,city
9,19.0,4.0,female,3.0,few hours a day,2.0,3.0,5.0,5.0,Sometimes,2.0,3.0,3.0,1.0,city
10,19.0,2.0,female,3.0,less than an hour a day,2.0,2.0,5.0,5.0,Often,5.0,2.0,2.0,4.0,city
11,17.0,2.0,female,2.0,few hours a day,4.0,1.0,5.0,5.0,Often,1.0,1.0,5.0,1.0,city
12,24.0,4.0,female,4.0,few hours a day,5.0,1.0,5.0,5.0,Often,2.0,10.0,1.0,1.0,city
13,19.0,3.0,female,2.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,1.0,3.0,1.0,city
14,22.0,5.0,female,2.0,most of the day,2.0,1.0,4.0,5.0,Often,5.0,1.0,2.0,1.0,city
15,18.0,3.0,male,5.0,few hours a day,4.0,3.0,5.0,1.0,Often,1.0,0.0,1.0,1.0,city
16,19.0,3.0,female,1.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,2.0,5.0,4.0,city
